Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
vivo x200 fe,89,4.65,49990,upcoming,dimensity 9300 plus,octa core,3.25 ghz processor GHz,12 gb ram,256 gb inbuilt,6500mAh 90W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.31 inch,"1216 x 2640 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ihi7iaqgq-w280-h280/vivo-x200-fe.webp
vivo s30 pro mini,89,4.65,40990,upcoming,dimensity 9300 plus,octa core,3.4 ghz processor GHz,12 gb ram,256 gb inbuilt,6500mAh 90W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.31 inch,"1216 x 2640 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 8 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ihxl2mwnr-w280-h280/vivo-s30-pro-mini.webp
samsung galaxy m36 5g,78,4.55,16499,upcoming,exynos 1380,octa core,2.4 ghz processor GHz,6 gb ram,128 gb inbuilt,5000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"1080 x 2340 px, 120 Hz",with punch hole,memory card (hybrid),android v15,50 mp + 8 mp + 2 mp triple rear & 13 mp front camera,https://cdn1.smartprix.com/rx-iu5qcy8yf-w280-h280/samsung-galaxy-m36-5.webp
motorola moto g96 5g,74,4.6,19990,upcoming,snapdragon 7s gen2,octa core processor,,12 gb ram,256 gb inbuilt,5500mAh 68W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 144 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v14,50 mp + 8 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-iezuwmvds-w280-h280/motorola-moto-g96-5g.webp
oneplus nord ce 5 5g,74,4.1,27999,upcoming,dimensity 8350,octa core processor,,8 gb ram,256 gb inbuilt,7100mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.7 inch,"1080 x 2412 px, 120 Hz",with punch hole,"memory card supported, upto 1 tb",android v15,50 mp + 8 mp dual rear & 16 mp front camera,https://cdn1.smartprix.com/rx-iageuk8fc-w280-h280/oneplus-nord-ce-5-5g.webp
realme gt 10000 mah,77,4.25,34990,rumored,octa core processor,,,8 gb ram,256 gb inbuilt,10000mAh 320W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.8 inch,"1264 x 2780 px, 144 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp dual rear & 32 mp front camera,https://cdn1.smartprix.com/rx-i4jxpe0cl-w280-h280/realme-gt-10000-mah.webp
samsung galaxy s25 fe,75,4.7,62990,upcoming,exynos 2400,deca core processor,,8 gb ram,256 gb inbuilt,5500mAh,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc",6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,memory card not supported,android v16,50 mp + 12 mp + 8 mp triple rear & 12 mp front camera,https://cdn1.smartprix.com/rx-iaq8maqax-w280-h280/samsung-galaxy-s25-f.webp
vivo v60 5g,76,4.65,44990,rumored,octa core processor,,,8 gb ram,256 gb inbuilt,6500mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.82 inch,"1260 x 2800 px, 144 Hz",with punch hole,memory card not supported,android v16,50 mp + 50 mp dual rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ihcwhkeq6-w280-h280/vivo-v60-5g.webp
samsung galaxy s26 ultra,83,4.45,159990,rumored,octa core processor,,,12 gb ram,256 gb inbuilt,5000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi",6.9 inch,"1800 x 3440 px, 144 Hz",with punch hole,memory card not supported,android v15,50 mp quad rear & 50 mp front camera,https://cdn1.smartprix.com/rx-irl2qxdwz-w280-h280/samsung-galaxy-s26-u.webp
vivo t5 5g,74,4.2,23990,rumored,snapdragon,octa core processor,,8 gb ram,128 gb inbuilt,7500mAh 100W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",no punch hole,"memory card (hybrid), upto 1 tb",android v16,50 mp + 13 mp + 8 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-irqswbtja-w280-h280/vivo-t5-5g.webp
